category,product,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,sale_price,market_price,weight_in_gms,brand,description,sub_category,type,rating,index
Fruits & Vegetables,Onion,2500,16,3,2100,1000,False,1,21.0,25.0,1000,,,,,,1
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,False,1,35.0,42.0,1000,,,,,,2
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,False,1,43.0,51.0,58,,,,,,3
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,False,100,17.0,20.0,100,,,,,,4
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,False,250,12.0,14.0,250,,,,,,5
Fruits & Vegetables,Potato,3500,17,3,2900,1000,False,1,29.0,35.0,1000,,,,,,6
Fruits & Vegetables,Lemon,7500,16,3,6300,200,False,200,63.0,75.0,200,,,,,,7
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,False,1,49.0,58.0,58,,,,,,8
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,False,250,19.0,23.0,250,,,,,,9
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,False,100,16.0,19.0,100,,,,,,10
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,False,6,24.0,29.0,348,,,,,,11
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,False,100,9.0,11.0,100,,,,,,12
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,False,1,22.0,26.0,58,,,,,,13
Fruits & Vegetables,Ginger,1400,14,3,1200,200,False,200,12.0,14.0,200,,,,,,14
Fruits & Vegetables,Spinach,1900,15,3,1600,250,False,250,16.0,19.0,250,,,,,,15
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,False,1,35.0,42.0,58,,,,,,16
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,False,1,13.0,15.0,58,,,,,,17
Fruits & Vegetables,Methi,3000,16,3,2500,250,False,250,25.0,30.0,250,,,,,,18
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,False,500,30.0,36.0,500,,,,,,19
Fruits & Vegetables,Sapota,3000,16,3,2500,348,False,6,25.0,30.0,348,,,,,,20
Fruits & Vegetables,Onion,6800,16,3,5700,3000,False,3,57.0,68.0,3000,,,,,,21
Fruits & Vegetables,Potato,10000,16,3,8400,3000,False,3,84.0,100.0,3000,,,,,,22
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,False,4,69.0,82.0,232,,,,,,23
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,False,100,9.0,11.0,100,,,,,,24
Fruits & Vegetables,Beans French,3300,15,3,2800,250,False,250,28.0,33.0,250,,,,,,25
Fruits & Vegetables,Bottle Gourd ,2600,15,3,2200,58,False,1,22.0,26.0,58,,,,,,26
Fruits & Vegetables,Banana Elaichi ,5800,15,3,4900,348,False,6,49.0,58.0,348,,,,,,27
Fruits & Vegetables,Coconut Big,3600,16,3,3000,58,False,1,30.0,36.0,58,,,,,,28
Fruits & Vegetables,Curry Leaves,1300,15,3,1100,50,False,50,11.0,13.0,50,,,,,,29
Fruits & Vegetables,Brinjal Bharta,1900,15,3,1600,58,False,1,16.0,19.0,58,,,,,,30
Fruits & Vegetables,Lettuce Iceberg,2500,16,3,2100,250,False,250,21.0,25.0,250,,,,,,31
Fruits & Vegetables,Papaya,5400,16,3,4500,58,False,1,45.0,54.0,58,,,,,,32
